7, 0.05, 21, 1.7355, 96.82, 95.00, 98.63
7, 0.10, 21, 3.5885, 46.82, 46.32, 47.31
7, 0.15, 21, 4.6281, 36.30, 36.00, 36.60
7, 0.05, 75, 4.6115, 130.16, 126.54, 133.77
7, 0.10, 75, 11.4225, 52.53, 51.88, 53.18
7, 0.15, 75, 15.3137, 39.19, 38.48, 39.89
7, 0.05, 141, 8.2705, 136.45, 131.91, 141.00
7, 0.10, 141, 21.1530, 53.33, 52.97, 53.68
7, 0.15, 141, 28.0808, 40.17, 40.05, 40.29
7, 0.05, 299, 16.5499, 144.54, 142.74, 146.35
7, 0.10, 299, 43.8405, 54.56, 54.37, 54.75
7, 0.15, 299, 59.0114, 40.53, 40.40, 40.67
8, 0.05, 21, 1.7519, 95.93, 93.11, 98.76
8, 0.10, 21, 3.6691, 45.79, 45.06, 46.53
8, 0.15, 21, 4.7316, 35.51, 35.10, 35.92
8, 0.05, 75, 4.6798, 128.40, 120.94, 135.86
8, 0.10, 75, 11.5742, 51.84, 51.11, 52.57
8, 0.15, 75, 15.3337, 39.13, 38.92, 39.34
8, 0.05, 141, 8.3222, 135.55, 134.11, 136.98
8, 0.10, 141, 21.1872, 53.24, 53.06, 53.42
8, 0.15, 141, 28.2895, 39.87, 39.78, 39.96
8, 0.05, 299, 16.9810, 140.95, 135.76, 146.13
8, 0.10, 299, 44.3362, 53.95, 53.78, 54.13
8, 0.15, 299, 59.3114, 40.33, 40.25, 40.41
16, 0.05, 21, 1.7790, 94.53, 89.90, 99.16
16, 0.10, 21, 3.6703, 45.77, 45.66, 45.88
16, 0.15, 21, 4.7239, 35.56, 35.26, 35.87
16, 0.05, 75, 4.7256, 126.98, 125.27, 128.68
16, 0.10, 75, 11.6033, 51.71, 51.60, 51.82
16, 0.15, 75, 15.3463, 39.10, 38.75, 39.45
16, 0.05, 141, 8.3474, 135.17, 131.70, 138.64
16, 0.10, 141, 21.1819, 53.25, 53.11, 53.39
16, 0.15, 141, 28.3008, 39.86, 39.74, 39.97
16, 0.05, 299, 16.8394, 142.10, 137.98, 146.22
16, 0.10, 299, 44.3444, 53.94, 53.57, 54.32
16, 0.15, 299, 59.3330, 40.31, 40.25, 40.38
25, 0.05, 21, 1.6994, 98.97, 94.00, 103.93
25, 0.10, 21, 3.6991, 45.42, 45.07, 45.77
25, 0.15, 21, 4.6888, 35.83, 35.62, 36.05
25, 0.05, 75, 4.7933, 125.26, 120.28, 130.24
25, 0.10, 75, 11.6269, 51.60, 51.35, 51.86
25, 0.15, 75, 15.2357, 39.38, 39.23, 39.53
25, 0.05, 141, 8.1086, 139.14, 136.08, 142.21
25, 0.10, 141, 21.2442, 53.10, 52.58, 53.62
25, 0.15, 141, 28.2664, 39.91, 39.81, 40.00
25, 0.05, 299, 16.8003, 142.38, 141.33, 143.43
25, 0.10, 299, 44.0127, 54.35, 53.92, 54.78
25, 0.15, 299, 58.8517, 40.64, 40.50, 40.79
